product_name,category,gender,details,description,MSRP
BMW 2 Series 2017,Convertible,Women,"premium unleaded (recommended), 335.0 HP, AUTOMATIC, all wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Convertible BMW 2 Series 2017 premium unleaded (recommended), 335.0 HP, AUTOMATIC, all wheel drive, Factory Tuner,Luxury,High-Performance, Compact",51050
BMW 2 Series 2017,Coupe,Women,"premium unleaded (recommended), 335.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Coupe BMW 2 Series 2017 premium unleaded (recommended), 335.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact",44450
BMW 2 Series 2017,Convertible,Women,"premium unleaded (recommended), 248.0 HP, AUTOMATIC, rear wheel drive, Luxury,Performance, Compact","Women Convertible BMW 2 Series 2017 premium unleaded (recommended), 248.0 HP, AUTOMATIC, rear wheel drive, Luxury,Performance, Compact",38950
BMW 2 Series 2017,Coupe,Women,"premium unleaded (recommended), 248.0 HP, AUTOMATIC, rear wheel drive, Luxury,Performance, Compact","Women Coupe BMW 2 Series 2017 premium unleaded (recommended), 248.0 HP, AUTOMATIC, rear wheel drive, Luxury,Performance, Compact",33150
BMW 2 Series 2017,Coupe,Women,"premium unleaded (recommended), 248.0 HP, AUTOMATIC, all wheel drive, Luxury,Performance, Compact","Women Coupe BMW 2 Series 2017 premium unleaded (recommended), 248.0 HP, AUTOMATIC, all wheel drive, Luxury,Performance, Compact",35150
BMW 2 Series 2017,Convertible,Women,"premium unleaded (recommended), 248.0 HP, AUTOMATIC, all wheel drive, Luxury, Compact","Women Convertible BMW 2 Series 2017 premium unleaded (recommended), 248.0 HP, AUTOMATIC, all wheel drive, Luxury, Compact",40950
Audi 200 1990,Sedan,Women,"regular unleaded, 162.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize","Women Sedan Audi 200 1990 regular unleaded, 162.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize",2000
Audi 200 1990,Wagon,Women,"regular unleaded, 162.0 HP, MANUAL, all wheel drive, Luxury, Midsize","Women Wagon Audi 200 1990 regular unleaded, 162.0 HP, MANUAL, all wheel drive, Luxury, Midsize",2000
Audi 200 1990,Sedan,Women,"regular unleaded, 162.0 HP, MANUAL, all wheel drive, Luxury, Midsize","Women Sedan Audi 200 1990 regular unleaded, 162.0 HP, MANUAL, all wheel drive, Luxury, Midsize",2000
Audi 200 1991,Sedan,Women,"regular unleaded, 217.0 HP, MANUAL, all wheel drive, Luxury,Performance, Midsize","Women Sedan Audi 200 1991 regular unleaded, 217.0 HP, MANUAL, all wheel drive, Luxury,Performance, Midsize",2000
Audi 200 1991,Wagon,Women,"regular unleaded, 217.0 HP, MANUAL, all wheel drive, Luxury,Performance, Midsize","Women Wagon Audi 200 1991 regular unleaded, 217.0 HP, MANUAL, all wheel drive, Luxury,Performance, Midsize",2000
Audi 200 1991,Sedan,Women,"regular unleaded, 162.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize","Women Sedan Audi 200 1991 regular unleaded, 162.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize",2000
Chrysler 200 2015,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2015 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",25170
Chrysler 200 2015,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2015 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",23950
Chrysler 200 2015,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2015 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",29370
Chrysler 200 2015,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2015 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",21995
Chrysler 200 2015,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2015 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel,Performance, Midsize",26625
Chrysler 200 2015,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2015 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",30825
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",21995
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",27795
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",31785
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",29905
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",22490
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",27570
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",25690
Chrysler 200 2016,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2016 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",24490
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",29905
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",31785
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",26685
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",22490
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",25690
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 295.0 HP, AUTOMATIC, all wheel drive, Flex Fuel,Performance, Midsize",30900
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",27795
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",21995
Chrysler 200 2017,Sedan,Women,"flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize","Women Sedan Chrysler 200 2017 flex-fuel (unleaded/E85), 184.0 HP, AUTOMATIC, front wheel drive, Flex Fuel, Midsize",24490
Nissan 200SX 1996,Coupe,Women,"regular unleaded, 115.0 HP, MANUAL, front wheel drive, , Compact","Women Coupe Nissan 200SX 1996 regular unleaded, 115.0 HP, MANUAL, front wheel drive, , Compact",2000
Nissan 200SX 1996,Coupe,Women,"regular unleaded, 140.0 HP, MANUAL, front wheel drive, Performance, Compact","Women Coupe Nissan 200SX 1996 regular unleaded, 140.0 HP, MANUAL, front wheel drive, Performance, Compact",2000
Nissan 200SX 1997,Coupe,Women,"regular unleaded, 140.0 HP, MANUAL, front wheel drive, Performance, Compact","Women Coupe Nissan 200SX 1997 regular unleaded, 140.0 HP, MANUAL, front wheel drive, Performance, Compact",2000
Nissan 200SX 1997,Coupe,Women,"regular unleaded, 115.0 HP, MANUAL, front wheel drive, , Compact","Women Coupe Nissan 200SX 1997 regular unleaded, 115.0 HP, MANUAL, front wheel drive, , Compact",2000
Nissan 200SX 1998,Coupe,Women,"regular unleaded, 115.0 HP, MANUAL, front wheel drive, , Compact","Women Coupe Nissan 200SX 1998 regular unleaded, 115.0 HP, MANUAL, front wheel drive, , Compact",2000
Nissan 200SX 1998,Coupe,Women,"regular unleaded, 140.0 HP, MANUAL, front wheel drive, Performance, Compact","Women Coupe Nissan 200SX 1998 regular unleaded, 140.0 HP, MANUAL, front wheel drive, Performance, Compact",2073
Nissan 240SX 1996,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1996 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",3713
Nissan 240SX 1996,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1996 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",3520
Nissan 240SX 1997,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1997 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",3910
Nissan 240SX 1997,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1997 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",4182
Nissan 240SX 1997,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1997 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",4107
Nissan 240SX 1998,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1998 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",4299
Nissan 240SX 1998,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1998 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",4693
Nissan 240SX 1998,Coupe,Women,"regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Coupe Nissan 240SX 1998 regular unleaded, 155.0 HP, MANUAL, rear wheel drive, Performance, Compact",4107
Volvo 240 1991,Wagon,Women,"regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize","Women Wagon Volvo 240 1991 regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize",2000
Volvo 240 1991,Wagon,Women,"regular unleaded, 114.0 HP, AUTOMATIC, rear wheel drive, Luxury, Midsize","Women Wagon Volvo 240 1991 regular unleaded, 114.0 HP, AUTOMATIC, rear wheel drive, Luxury, Midsize",2000
Volvo 240 1991,Sedan,Women,"regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize","Women Sedan Volvo 240 1991 regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize",2000
Volvo 240 1992,Sedan,Women,"regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize","Women Sedan Volvo 240 1992 regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize",2000
Volvo 240 1992,Wagon,Women,"regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize","Women Wagon Volvo 240 1992 regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize",2000
Volvo 240 1993,Sedan,Women,"regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize","Women Sedan Volvo 240 1993 regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize",2000
Volvo 240 1993,Wagon,Women,"regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize","Women Wagon Volvo 240 1993 regular unleaded, 114.0 HP, MANUAL, rear wheel drive, Luxury, Midsize",2000
Mazda 2 2012,4dr Hatchback,Women,"regular unleaded, 100.0 HP, MANUAL, front wheel drive, Hatchback, Compact","Women 4dr Hatchback Mazda 2 2012 regular unleaded, 100.0 HP, MANUAL, front wheel drive, Hatchback, Compact",16020
Mazda 2 2012,4dr Hatchback,Women,"regular unleaded, 100.0 HP, MANUAL, front wheel drive, Hatchback, Compact","Women 4dr Hatchback Mazda 2 2012 regular unleaded, 100.0 HP, MANUAL, front wheel drive, Hatchback, Compact",14530
Mazda 2 2012,4dr Hatchback,Women,"regular unleaded, 100.0 HP, AUTOMATIC, front wheel drive, Hatchback, Compact","Women 4dr Hatchback Mazda 2 2012 regular unleaded, 100.0 HP, AUTOMATIC, front wheel drive, Hatchback, Compact",16860
Mazda 2 2012,4dr Hatchback,Women,"regular unleaded, 100.0 HP, AUTOMATIC, front wheel drive, Hatchback, Compact","Women 4dr Hatchback Mazda 2 2012 regular unleaded, 100.0 HP, AUTOMATIC, front wheel drive, Hatchback, Compact",15370
